Age,YearsExperience,EducationLevel,ProjectsCompleted,WeeklyWorkingHours,PerformanceScore,Salary
31,2,3,3,48,8.7,63218
48,22,2,15,43,8.0,251419
45,16,2,30,42,6.1,169414
59,33,3,25,48,3.5,378030
53,31,4,39,48,8.1,374196
21,0,1,3,30,7.5,27437
47,18,2,18,46,6.5,170722
33,5,2,3,43,8.6,62153
23,0,2,2,36,8.2,53968
59,38,2,21,47,7.2,449723
26,2,1,0,54,7.0,54037
28,1,3,6,46,7.1,55437
47,20,2,22,49,8.0,223917
29,3,2,6,52,5.8,63240
57,29,3,33,39,7.6,337926
53,27,3,25,34,5.7,290059
44,14,2,19,46,8.9,158986
35,12,2,15,42,7.7,124009
52,28,3,23,36,6.0,287207
52,29,2,39,43,7.1,285251
44,23,2,31,47,5.8,261519
32,2,3,0,42,9.1,55551
59,34,1,32,39,9.3,371185
22,1,1,5,42,8.0,24930
23,2,1,1,43,9.2,46109
57,35,1,23,33,7.2,364090
37,13,1,11,42,8.1,124083
22,0,4,0,36,8.7,48344
22,0,2,0,46,7.0,42167
48,25,1,39,35,7.1,249564
43,22,2,19,48,8.3,217126
57,34,4,49,41,7.9,397304
52,29,3,42,40,5.9,350356
53,28,2,41,44,3.9,323273
21,0,3,1,39,6.8,29522
39,15,2,12,44,4.1,123331
22,0,2,0,39,5.6,35237
46,19,2,26,40,5.8,198723
52,28,2,35,45,6.2,310313
26,3,2,2,37,8.1,66106
52,26,3,41,37,8.5,302380
24,1,2,0,44,7.7,33333
31,5,3,5,43,7.9,81128
37,8,1,6,44,7.9,102616
58,32,2,17,45,3.5,325212
44,20,2,28,43,7.0,217799
25,0,4,1,46,4.5,33067
54,28,2,37,43,7.7,334914
26,3,3,3,33,4.1,32878
42,14,2,25,34,6.7,164831
31,7,1,5,53,7.8,68940
36,8,1,10,43,5.4,110537
53,23,2,21,48,8.3,231261
29,0,1,3,41,7.7,42576
26,3,1,6,43,7.5,39820
36,6,3,12,41,8.0,73260
49,22,1,18,55,6.5,235463
23,0,3,0,44,7.2,54738
40,16,2,10,40,7.0,162352
56,28,3,26,35,7.0,311993
39,16,3,19,53,6.1,188999
46,19,2,26,42,5.3,189700
23,0,2,5,47,6.5,27412
39,12,3,16,47,6.5,136946
40,10,3,10,41,6.0,104874
52,22,2,32,46,8.2,247163
27,1,1,3,40,5.4,45726
53,31,4,43,38,6.8,355410
60,37,2,37,49,8.6,441299
59,33,3,30,42,8.3,384400
38,14,2,14,46,8.7,161290
60,34,1,44,45,6.2,376546
21,0,3,2,46,8.1,56709
31,1,3,5,35,5.5,49600
48,27,2,15,40,6.6,283932
45,22,2,16,41,6.7,242783
43,15,3,23,39,6.2,167983
51,23,3,17,45,6.5,234616
50,26,1,34,49,6.3,264425
55,29,3,42,50,5.6,346415
27,0,3,0,41,8.2,47688
36,9,3,14,44,6.7,130870
46,19,3,30,45,7.3,189075
22,0,1,2,46,7.2,51628
21,0,3,7,39,7.1,42466
32,2,3,0,52,7.1,53068
25,0,1,7,48,6.6,35272
57,34,2,43,48,9.0,408205
52,27,2,30,49,8.1,304612
29,4,3,6,46,7.0,57571
55,30,2,30,38,6.4,325479
39,11,3,8,42,6.8,128933
36,7,4,5,35,7.6,92006
23,0,3,2,45,9.1,62644
40,14,4,17,42,5.1,150120
44,18,4,20,43,7.9,174038
53,24,1,24,49,8.6,255281
44,20,3,15,41,4.9,204868
31,5,2,3,42,6.7,73034
28,4,3,7,43,5.5,80164
56,35,2,20,34,7.6,357370
58,31,4,25,42,6.5,346678
60,30,3,15,31,6.8,304778
40,14,3,13,40,6.4,133234
55,26,1,35,47,8.0,280982
45,18,2,15,45,7.3,193882
55,28,3,35,40,7.3,317611
45,23,1,35,43,7.2,237020
49,20,3,21,38,7.8,211804
38,8,1,8,43,6.6,101479
38,9,3,8,58,9.4,127678
22,0,2,2,52,5.3,34517
55,32,3,47,43,4.6,361700
36,15,3,24,44,4.5,142552
56,32,2,26,38,4.1,334397
53,30,1,20,39,7.9,290821
24,3,1,2,45,7.8,82525
53,30,3,42,40,8.7,337789
34,10,3,16,48,5.5,132458
41,13,3,15,51,8.0,172167
40,11,3,17,45,7.1,132954
28,5,2,8,44,7.2,74600
27,1,2,5,35,7.9,31112
23,0,1,4,47,5.9,33595
37,12,2,19,37,10.0,158298
53,27,4,16,41,8.9,301685
32,8,3,11,48,6.3,102240
42,12,2,9,48,5.5,140545
42,16,3,19,41,6.9,180815
50,23,3,32,41,7.3,252876
58,29,2,40,40,8.5,328605
58,28,1,26,37,5.4,276403
28,1,1,0,40,7.4,34868
47,21,3,16,35,4.9,208334
47,26,4,28,46,7.6,301730
54,32,3,23,45,6.8,340242
41,20,1,26,46,9.7,215865
50,21,2,11,38,4.8,197152
53,23,3,25,37,8.9,239889
48,18,3,18,43,4.6,181086
53,24,3,39,43,5.1,239223
25,0,3,2,42,4.7,27759
39,17,1,17,42,7.4,158096
24,0,3,6,52,5.4,43641
55,31,3,37,45,5.1,322603
37,16,2,17,53,7.3,174971
48,27,3,30,49,7.6,313973
50,25,2,37,52,7.1,277992
49,27,1,36,38,6.8,292526
26,2,2,2,46,9.6,53547
55,34,1,36,41,7.2,356485
57,33,2,49,35,8.1,380580
44,18,2,30,50,7.2,208625
49,19,3,24,42,5.5,186437
51,27,2,23,38,7.8,279467
55,34,2,30,41,6.1,372645
53,26,1,21,39,6.9,297417
41,19,3,21,40,7.4,206210
52,23,2,21,42,4.3,209093
43,20,2,10,52,4.7,171816
53,25,3,20,40,8.3,277416
23,0,3,6,51,6.1,78070
38,15,3,23,47,6.1,164428
45,21,2,25,45,7.2,219140
51,29,1,40,47,6.5,322259
23,0,3,0,43,7.6,33320
60,31,2,37,49,6.9,318150
44,22,2,23,46,7.3,245047
52,29,1,37,35,6.0,299932
42,18,3,10,44,7.3,198751
43,18,1,17,47,8.5,176588
22,1,4,3,42,6.2,50751
47,20,3,23,44,8.3,229758
22,0,2,5,40,6.9,54544
46,19,3,13,36,8.0,199026
37,8,3,4,35,7.2,93899
60,36,3,33,35,7.0,420646
53,27,2,43,46,7.5,310870
29,7,3,6,31,8.7,72516
59,35,2,45,40,7.3,389035
49,27,4,43,39,7.7,291111
46,16,2,10,42,6.5,168428
55,30,2,33,34,9.2,326301
45,18,3,17,45,7.9,203942
44,23,3,29,37,7.1,254445
33,3,3,3,49,6.8,51521
27,0,1,0,40,8.4,37557
56,29,2,38,43,6.2,314602
40,10,4,11,43,4.5,106589
21,0,3,0,44,7.1,53133
28,2,3,3,43,8.7,89489
36,8,1,4,41,9.2,105814
34,6,2,8,45,6.8,81457
32,6,3,4,45,7.1,97524
43,20,3,29,39,7.7,241155
35,10,1,10,45,6.6,90592
48,26,3,37,49,7.7,312258
54,29,3,36,47,6.9,338766
22,0,2,4,48,8.4,62857
52,22,2,25,44,8.0,244809
43,22,2,14,38,8.1,220217
42,12,3,10,39,6.7,152904
45,20,1,30,45,9.7,221925
42,16,1,14,48,7.7,158338
42,15,3,10,57,7.3,170822
26,0,1,3,48,5.9,50969
35,9,2,13,37,6.9,104297
57,32,2,28,39,7.2,354218
53,26,3,20,54,5.9,282170
28,7,3,10,42,6.6,83739
25,0,2,0,43,6.8,28838
59,37,3,50,38,7.1,426676
24,0,3,6,51,4.5,62466
26,0,1,2,46,6.8,37019
52,27,1,33,39,6.5,242609
50,24,2,15,38,7.0,247168
55,33,2,20,45,8.4,366170
60,37,3,46,43,9.9,427211
36,9,3,6,47,7.9,98541
33,11,2,15,46,5.3,109965
50,24,1,40,42,6.5,248983
39,14,2,28,40,7.8,173813
37,7,3,11,42,7.7,93473
39,18,2,26,40,8.4,189933
48,18,3,6,42,6.9,194219
46,22,1,23,43,6.5,228884
57,35,3,43,39,9.5,395208
46,22,3,20,46,7.1,228311
43,22,2,22,41,5.6,228864
29,7,2,12,39,9.1,83443
32,4,4,13,41,4.9,96755
21,0,2,2,44,2.1,30505
21,0,3,5,43,8.1,39359
54,28,1,21,45,8.3,279145
52,22,3,11,47,7.6,240940
45,16,1,20,50,5.2,155626
60,33,4,24,44,6.9,381649
21,0,3,7,38,6.6,30032
36,11,3,12,42,6.2,123202
59,32,3,25,38,9.0,351279
25,0,3,7,51,5.5,43815
42,19,2,27,53,7.4,199955
49,22,3,13,46,8.7,246068
23,2,4,1,47,7.5,53328
32,3,2,1,44,8.7,59639
46,16,4,27,45,7.8,187448
36,10,3,9,35,7.6,131297
57,32,3,36,43,7.5,377694
42,15,2,11,39,7.9,162688
49,24,2,27,44,6.5,235425
34,4,1,4,43,5.2,49863
48,23,2,30,53,8.3,269373
25,0,3,1,48,8.6,34699
50,23,2,31,44,7.4,250218
25,0,2,4,42,6.2,27317
32,5,4,5,51,4.8,65371
36,13,2,11,43,7.1,156329
46,23,2,16,45,5.1,239841
46,16,1,23,43,4.9,173498
41,18,1,18,41,7.0,189225
59,33,3,27,43,5.9,366829
56,30,3,46,33,7.5,336651
53,30,3,37,35,6.8,331725
50,27,1,34,45,6.2,284538
57,29,3,44,51,4.6,353895
43,15,2,18,45,5.8,140864
30,3,2,9,39,5.9,52016
25,0,1,0,36,5.3,22000
56,32,1,50,47,6.5,375169
54,30,2,41,40,5.4,353595
51,28,1,29,46,6.8,299875
30,5,4,5,45,7.3,84892
39,16,2,7,45,5.8,157526
52,24,1,18,43,7.6,247690
21,0,2,0,45,5.1,44728
25,2,3,11,42,5.4,62518
24,0,1,3,40,6.8,43536
36,11,3,10,38,8.0,132465
44,15,4,17,31,8.2,143511
36,9,2,16,42,9.3,114234
22,0,2,4,51,6.5,49013
48,22,1,34,47,6.8,240034
52,30,3,42,44,5.6,340249
47,18,2,16,39,5.2,179989
40,14,2,17,48,7.3,144021
44,16,2,24,42,5.9,148332
32,11,3,18,51,8.7,150008
55,30,2,46,38,5.0,319988
53,32,1,24,39,7.7,337465
53,23,3,31,39,5.6,239560
57,29,3,29,36,5.9,334624
32,4,3,4,38,7.8,66624
23,2,1,6,44,6.1,47065
21,0,3,0,39,6.3,46624
53,31,3,41,30,5.9,373738
60,31,1,42,48,9.5,356018
30,9,3,13,35,6.1,99451
49,19,2,12,46,7.1,200869
33,4,4,9,43,6.7,55628
32,8,1,10,54,7.3,99827
51,22,3,11,48,6.1,250487
22,0,2,4,40,6.7,42243
55,29,4,48,39,7.6,346193
43,18,2,20,51,5.8,189208
37,8,4,12,36,8.5,101144
46,24,4,20,44,8.7,270724
28,6,2,6,42,7.8,90383
49,20,3,25,41,7.1,212718
46,23,4,32,45,2.8,221851
30,2,2,3,44,7.6,60137
46,17,2,20,45,6.5,203948
54,26,3,37,44,6.7,288045
27,3,2,1,45,4.3,33206
24,3,1,8,43,7.7,69699
31,7,2,8,40,5.0,102426
49,20,2,18,43,7.2,212552
56,34,2,28,39,8.3,399106
45,22,1,18,39,6.3,225714
41,11,3,16,41,8.7,139992
56,28,3,12,42,6.0,285984
30,4,1,3,43,7.8,66815
57,29,3,37,48,5.2,326276
29,2,3,4,41,8.4,57695
44,19,4,30,44,8.2,217754
55,26,1,29,44,7.7,277207
55,31,2,23,40,6.4,315474
56,30,4,37,43,5.0,353391
38,16,4,16,48,6.5,166957
59,37,3,50,44,8.6,447257
52,30,3,47,44,7.2,354517
44,14,1,13,39,4.8,122663
43,16,3,19,53,5.4,151112
52,30,2,29,40,8.8,325053
57,35,2,39,35,7.7,380527
32,3,3,4,47,5.3,68198
33,6,1,0,42,4.5,50608
43,20,2,17,41,6.1,219422
45,22,4,22,40,4.4,233750
55,28,2,35,52,6.8,312220
50,25,4,25,45,10.0,262582
37,7,4,15,46,4.8,98608
40,14,3,13,44,6.7,149518
45,17,1,18,44,8.8,161051
42,13,2,12,50,8.0,143807
33,12,2,10,42,6.8,121125
39,16,2,27,36,6.8,168829
56,29,2,22,47,5.4,306771
32,6,4,6,45,6.6,80483
39,12,1,11,44,7.3,127597
32,4,3,9,45,8.5,76041
29,3,1,0,41,6.1,55443
27,4,3,6,43,6.7,62686
48,26,4,24,42,5.7,272111
34,7,2,13,40,7.3,82994
51,30,2,32,49,8.1,352262
39,16,3,20,36,7.9,184782
36,12,3,18,55,5.4,154621
25,4,3,5,47,7.2,86823
55,30,2,15,34,6.1,302404
32,2,2,2,42,8.4,58250
45,22,4,25,42,6.8,244280
41,19,4,33,45,4.9,223514
56,33,2,28,38,6.7,357240
43,15,3,15,43,7.6,163866
36,10,2,13,42,7.3,114967
59,32,2,26,39,6.3,351937
59,33,1,25,39,6.2,357139
34,8,2,6,48,5.6,93384
51,28,3,32,35,6.4,308188
25,0,1,0,45,5.8,37711
55,28,2,43,47,8.4,339569
43,16,3,14,42,5.7,144950
49,23,3,26,43,7.2,238664
31,6,3,1,49,7.1,89944
38,8,4,16,39,8.3,113527
32,4,1,7,40,8.5,70193
29,4,3,7,41,8.0,80140
30,1,3,0,49,7.5,53678
37,8,3,7,49,5.5,90289
58,37,2,30,36,5.5,420196
27,1,1,1,48,5.8,42701
33,6,4,11,47,8.1,89769
60,37,2,45,51,7.1,445184
29,2,3,2,45,8.2,66072
47,20,3,27,43,8.4,225227
22,0,3,3,49,6.0,65055
25,0,3,3,46,7.0,61372
49,28,3,47,54,7.0,342472
57,32,2,18,48,6.5,374546
58,29,3,34,44,6.3,323072
39,12,3,14,37,8.7,130332
28,1,2,6,40,7.1,58654
21,0,2,5,36,7.0,36918
42,14,1,8,42,5.9,133933
37,14,4,17,48,7.9,151769
27,0,1,1,43,5.6,41630
45,22,3,34,48,7.6,232208
24,0,2,0,45,7.7,40793
56,29,2,39,41,6.4,320226
26,4,3,4,43,7.4,63848
51,27,1,24,45,7.3,260003
39,13,3,17,44,6.9,124624
59,30,3,20,44,7.0,318146
47,22,3,26,39,7.1,243779
30,1,1,4,41,7.2,48467
46,21,4,23,54,7.1,237543
39,9,3,13,49,5.5,98865
59,31,4,33,36,6.8,358184
23,2,2,3,31,7.4,25962
33,6,3,8,43,7.1,56051
48,24,4,20,47,8.3,264533
40,15,4,16,40,7.9,161197
48,22,2,34,48,5.8,251358
28,3,2,1,43,6.8,58006
59,38,2,29,42,6.6,451519
21,0,2,3,47,7.0,37171
23,1,2,6,40,7.0,53921
33,4,2,6,42,7.9,65583
48,18,3,15,46,7.2,207731
45,23,1,30,43,8.7,242321
53,24,3,21,53,7.3,272533
58,32,1,36,46,5.8,335409
26,0,2,0,46,6.3,33967
52,26,1,33,43,7.8,276641
41,15,2,13,47,4.7,166061
36,14,3,9,41,5.1,115214
41,13,4,11,44,7.0,141498
31,8,2,10,38,8.3,93012
57,30,2,24,48,8.8,304476
56,31,2,17,44,6.7,323112
55,32,3,46,53,8.5,364522
39,18,3,16,55,7.1,168282
40,12,3,6,47,4.9,121462
38,15,3,10,43,7.0,153446
34,12,3,16,38,6.1,128671
35,14,1,18,48,8.3,154324
51,27,2,35,44,7.0,285697
21,0,4,0,46,5.2,62090
23,0,3,3,52,4.9,42800
36,15,3,17,39,7.0,176387
43,19,3,18,38,3.6,170321
31,2,2,7,42,6.3,43686
32,11,3,11,47,7.3,134996
30,8,3,15,46,5.5,99581
52,23,2,22,39,8.4,228682
36,14,3,13,47,8.7,134916
28,5,3,8,37,5.6,80198
58,31,1,37,39,6.6,342969
32,9,2,10,42,8.4,109780
44,15,2,9,40,7.0,143799
48,22,3,23,47,5.0,220153
28,5,2,6,44,6.8,72464
48,19,3,17,52,5.8,186346
56,35,3,36,42,8.6,400381
46,16,2,15,42,7.8,181865
28,5,4,9,49,6.6,61640
48,27,4,25,43,7.2,310000
48,26,1,17,50,5.2,278980
57,29,2,32,46,5.9,325505
56,29,4,41,31,9.2,343729
47,25,4,17,49,7.1,268737
37,15,1,17,48,8.3,151149
29,0,1,6,48,7.3,22000
53,27,1,18,33,8.8,274184
40,15,4,17,40,4.2,154523
33,3,1,2,40,6.7,44094
48,22,3,34,39,9.3,249369
49,20,3,25,52,8.3,225948
33,6,1,12,43,8.9,78523
55,25,3,25,43,7.0,290507
26,0,2,0,46,6.2,47467
38,9,3,2,46,5.6,109635
25,1,2,6,30,5.5,38090
45,23,3,35,40,8.1,264835
22,0,3,3,36,7.7,31452
30,6,2,6,45,6.9,88325
50,21,1,15,42,7.7,206047
25,1,2,3,43,7.2,35266
53,25,2,28,33,8.3,264977
21,0,3,2,41,8.3,41845
38,9,3,12,49,5.5,136507
52,22,2,22,50,7.4,239225
31,7,3,9,47,4.7,107517
41,20,3,25,36,7.2,228025
46,23,3,28,49,7.8,256953
45,16,2,17,47,5.2,159105
42,18,2,26,42,6.4,170177
47,22,2,30,33,7.0,220849
33,6,3,11,48,7.3,98313
53,28,2,35,40,6.6,301384
54,30,2,40,45,5.4,337510
55,33,1,42,43,6.9,343107
21,0,3,2,51,4.7,46792
41,17,2,25,42,6.7,194758
26,0,2,4,43,6.4,22000
48,18,2,14,51,6.8,190819
37,8,2,9,40,6.2,108432
25,0,3,2,47,4.9,60011
51,28,2,32,42,6.5,297168
25,0,2,1,38,8.3,50159
58,33,3,31,43,8.8,396307
23,0,2,5,46,10.0,57267
43,18,1,17,50,9.4,204891
57,27,4,18,50,5.3,294240
57,33,2,46,42,6.4,381992
30,2,2,7,38,7.0,45991
30,5,1,7,41,6.9,67625
39,9,2,9,37,7.1,105465
37,9,3,15,42,10.0,110571
41,12,3,17,41,5.5,129777
34,10,3,9,47,6.0,123080
29,2,1,0,32,9.3,72321
21,0,2,4,39,6.1,22000
33,7,3,7,39,7.6,113829
24,0,4,0,49,8.4,46982
21,0,1,4,37,7.7,50729
60,33,2,24,44,7.3,375743
52,24,2,19,42,8.3,269834
54,27,1,41,48,5.7,284304
48,23,2,24,46,6.3,238807
51,24,1,21,44,7.7,245097
28,0,3,3,40,4.1,30911
59,36,3,35,34,9.0,435235
46,21,1,18,44,7.4,210378
54,27,1,37,46,7.2,272967
23,0,3,5,35,4.7,28304
32,10,1,17,37,5.2,86809
21,0,3,4,44,6.4,41060
25,0,2,6,45,8.1,56121
50,29,3,19,38,4.1,295726
50,28,2,31,40,8.1,300524
37,8,1,8,34,6.5,82273
43,13,2,22,50,6.7,149699
35,8,2,12,37,7.4,102553
57,27,2,32,46,7.4,305387
41,14,3,6,43,6.0,169346
34,8,2,15,49,7.9,107642
22,0,1,8,39,3.8,42630
31,1,3,3,43,6.4,28859
59,36,3,20,35,7.2,398110
58,36,4,50,33,6.5,430845
54,28,3,17,46,4.4,282242
58,34,2,27,34,8.1,368128
54,29,3,23,42,5.3,310690
38,15,4,24,48,6.9,169994
50,24,3,30,47,7.2,297902
35,12,2,18,40,7.0,138347
47,19,2,23,35,8.6,224122
54,25,2,21,46,6.9,280212
58,34,3,23,50,7.6,378559
53,24,3,35,40,6.9,267131
44,17,3,11,39,7.9,171242
35,12,1,19,40,9.0,131748
50,23,3,38,46,7.2,250283
37,16,3,20,49,8.1,175012
25,2,2,2,37,9.0,58014
49,23,3,32,36,8.9,260147
24,0,2,2,55,6.5,48691
30,3,4,2,42,8.5,65474
37,14,3,12,44,7.3,161459
30,9,3,11,40,8.6,107945
37,8,3,13,45,7.8,122549
40,14,4,11,48,7.4,135079
44,16,2,8,44,7.6,169162
25,2,2,4,52,7.4,64760
54,26,3,40,41,7.4,287265
26,4,2,5,42,6.8,60747
22,0,2,1,44,6.6,45127
33,10,3,19,45,9.5,141191
31,1,3,3,44,7.7,30666
43,22,2,40,37,6.2,247339
36,9,2,14,45,6.6,101768
51,21,2,19,41,8.5,232883
31,9,2,6,40,6.0,74389
36,12,1,14,43,4.9,150034
28,0,3,3,38,5.0,25816
24,0,2,2,37,4.6,49060
60,32,2,42,30,5.2,351070
24,2,2,3,52,5.3,42976
45,18,4,15,46,8.9,204021
23,0,2,4,42,6.9,54200
52,23,1,32,40,6.5,220838
23,0,1,3,30,5.0,36469
47,26,3,38,39,6.8,291014
49,21,3,19,47,4.6,225535
52,22,2,14,48,6.5,224082
39,16,2,21,46,9.9,172218
41,19,1,32,44,7.9,191533
25,2,3,4,50,6.7,66782
38,12,3,14,41,8.0,144167
48,25,1,41,48,6.3,280047
42,12,1,15,41,5.9,128171
41,16,1,26,39,9.4,184836
26,0,1,1,38,5.4,48223
21,0,3,5,38,6.5,22000
25,0,2,1,46,7.4,22000
32,4,2,2,39,5.7,78825
46,23,1,20,38,7.9,215677
54,30,4,19,47,6.6,321315
34,8,3,12,45,7.9,101799
46,19,2,14,48,7.8,177112
47,18,2,25,46,6.7,188381
29,8,2,3,39,9.4,83333
46,18,2,28,43,6.1,189710
42,14,1,4,44,8.9,142248
50,24,3,26,38,8.6,258158
37,13,3,13,37,9.5,140671
46,23,4,39,40,7.2,269286
56,33,1,47,53,5.9,386752
21,0,3,1,41,9.9,67736
28,0,3,6,49,6.5,45628
55,28,1,35,41,5.9,318419
35,14,2,20,47,6.7,163730
42,16,1,14,48,5.6,143516
34,7,2,9,48,7.7,77966
46,19,2,24,45,6.2,193033
48,19,3,30,50,6.6,231515
43,13,2,23,45,8.4,144594
34,9,4,12,52,7.9,97242
44,23,1,35,35,7.0,238023
22,0,4,2,45,7.2,23033
46,22,2,25,44,7.0,219890
34,9,3,14,38,6.4,100036
27,0,2,5,46,7.0,46746
23,2,1,3,36,7.7,60530
43,20,3,10,40,6.8,211030
38,13,2,17,33,7.6,123358
58,35,3,28,51,5.8,395639
55,31,3,22,42,6.2,339377
35,12,2,9,54,6.0,125904
45,21,2,26,47,6.2,219348
57,36,3,28,45,8.8,397787
48,20,1,30,40,8.0,197267
30,6,3,13,38,5.5,77725
59,32,4,28,46,7.6,332801
37,15,1,16,43,6.5,158738
59,37,1,42,36,6.0,398768
42,16,3,22,35,4.9,175252
46,24,2,32,38,8.4,267547
45,19,2,27,52,5.1,196736
37,15,1,26,54,6.9,178057
33,9,3,12,44,5.7,115548
40,13,1,24,44,8.1,141962
45,17,2,21,41,6.5,172139
24,1,3,5,38,6.8,61277
30,1,2,0,50,6.9,50514
23,1,2,4,52,7.4,65916
38,10,4,14,39,7.0,92032
56,28,3,38,43,6.9,318232
42,18,3,15,41,6.3,167471
54,33,2,29,41,4.8,358001
28,7,3,2,49,5.4,93926
60,38,1,34,36,8.0,448290
39,10,1,13,45,6.6,98592
57,35,2,45,47,6.1,398492
26,4,2,8,42,5.0,61914
46,20,3,18,47,4.6,195806
54,27,2,16,44,6.0,289343
26,0,3,0,49,8.2,46559
57,28,3,23,35,6.2,300013
53,27,3,21,41,7.6,298852
42,14,2,12,43,6.2,142299
41,15,3,14,30,7.9,146340
26,4,2,2,38,6.5,58954
26,5,1,6,39,5.3,53476
24,0,4,2,48,6.6,48096
50,21,1,31,39,9.6,237313
31,3,1,5,39,9.5,47420
50,26,3,34,47,7.7,275622
51,26,2,22,35,6.8,269271
44,19,3,20,33,7.4,189966
